credits,faculty/0,is_lab,is_open,location,name,number,open_seats,section,semester,subject,total_seats,times/0/day,times/0/end_time,times/0/start_time,times/1/day,times/1/end_time,times/1/start_time,times/2/day,times/2/end_time,times/2/start_time,times/3/day,times/3/end_time,times/3/start_time,faculty/1,faculty/2,faculty/3,faculty/4
0,"Inman, John G.",false,false,Off Campus Course,STUDY ABROAD,300,0,A,2023_Fall,ABRD,0,,,,,,,,,,,,,,,,
3,"Graybill, Keith B.",false,true,SHAL 316,PRINCIPLES OF ACCOUNTING I,201,1,A,2023_Fall,ACCT,30,T,16:45:00,15:30:00,R,16:45:00,15:30:00,,,,,,,,,,
3,"Graybill, Keith B.",false,false,SHAL 309,PRINCIPLES OF ACCOUNTING I,201,0,B,2023_Fall,ACCT,30,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
3,"Shultz, Tricia Michele",false,true,SHAL 204,PRINCIPLES OF ACCOUNTING I,201,8,C,2023_Fall,ACCT,30,M,12:50:00,12:00:00,W,12:50:00,12:00:00,F,12:50:00,12:00:00,,,,,,,
3,"Shultz, Tricia Michele",false,false,SHAL 204,PRINCIPLES OF ACCOUNTING I,201,0,D,2023_Fall,ACCT,30,M,13:50:00,13:00:00,W,13:50:00,13:00:00,F,13:50:00,13:00:00,,,,,,,
3,"Graybill, Keith B.",false,false,SHAL 204,PRINCIPLES OF ACCOUNTING I,201,0,E,2023_Fall,ACCT,30,M,14:50:00,14:00:00,W,14:50:00,14:00:00,F,14:50:00,14:00:00,,,,,,,
3,"Graybill, Keith B.",false,true,SHAL 206,INTERMEDIATE ACCOUNTING I,301,4,A,2023_Fall,ACCT,35,M,08:50:00,08:00:00,W,08:50:00,08:00:00,F,08:50:00,08:00:00,,,,,,,
3,"McFeaters, Michelle R.",false,true,SHAL 314,COST ACCOUNTING,303,2,A,2023_Fall,ACCT,30,T,09:15:00,08:00:00,R,09:15:00,08:00:00,,,,,,,,,,
3,"Stone, Jennifer Nicole",false,true,SHAL 114,DATA ANALYTICS FOR ACCOUNTING,310,9,A,2023_Fall,ACCT,25,M,09:50:00,09:00:00,W,09:50:00,09:00:00,F,09:50:00,09:00:00,,,,,,,
3,"Shultz, Tricia Michele",false,true,SHAL 308,ADVANCED ACCOUNTING II,402,10,A,2023_Fall,ACCT,25,T,10:45:00,09:30:00,R,10:45:00,09:30:00,,,,,,,,,,
3,"DiDonato, Andrea Dawn",false,true,SHAL 111,AUDITING,403,7,A,2023_Fall,ACCT,20,T,21:00:00,18:30:00,,,,,,,,,,,,,
3,"Sanders, Glen E.",false,false,PFAC 46 Classroom,ELEMENTS AND PRINCIPLES OF DRAWING,101,0,A,2023_Fall,ART,15,T,10:45:00,09:30:00,R,10:45:00,09:30:00,,,,,,,,,,
3,"Bauer, Christian Jr.",false,false,PFAC 47 Classroom,CERAMICS I WHEEL,104,0,A,2023_Fall,ART,12,T,21:00:00,18:30:00,,,,,,,,,,,,,
3,"Sanders, Glen E.",false,true,PFAC 46 Classroom,INTRO TO COLOR THEORY IN PAINTING,105,2,A,2023_Fall,ART,20,T,13:45:00,12:30:00,R,13:45:00,12:30:00,,,,,,,,,,
3,"Carter, Beverly H.",false,true,PFAC 69,HIST & APPREC OF ART I,201,18,A,2023_Fall,ART,25,T,10:45:00,09:30:00,R,10:45:00,09:30:00,,,,,,,,,,
3,"Bauer, Christian Jr.",false,true,PFAC 47 Classroom,CERAMICS II,207,1,A,2023_Fall,ART,12,W,21:00:00,18:30:00,,,,,,,,,,,,,
3,"Sanders, Glen E.",false,true,PFAC 46 Classroom,STUDY: INTRO TO CERAMICS,390,5,A,2023_Fall,ART,18,T,12:15:00,11:00:00,R,12:15:00,11:00:00,,,,,,,,,,
3,"Clem, James L.",false,true,STEM 051,INTRO TO SKY MOTIONS & PLANETS,206,23,A,2023_Fall,ASTR,45,M,13:50:00,13:00:00,W,13:50:00,13:00:00,F,13:50:00,13:00:00,,,,,,,
3,"Clem, James L.",false,true,On Line Course,INTRO TO SKY MOTIONS & PLANETS,206,7,B,2023_Fall,ASTR,25,,,,,,,,,,,,,,,,
4,"Clem, James L.",false,true,STEM 140B Conference Room,OBSERVATIONAL ASTRONOMY,301,10,A,2023_Fall,ASTR,16,T,21:30:00,19:00:00,,,,,,,,,,,,,
0,"Clem, James L.",true,true,STEM 140B Conference Room,LABORATORY,301,10,L,2023_Fall,ASTR,16,R,21:00:00,19:00:00,,,,,,,,,,,,,
4,"Pazehoski, Kristina O.",false,true,SHAL 108  w/multimedia,GENERAL BIOLOGY I,101,2,A,2023_Fall,BIOL,90,M,09:50:00,09:00:00,W,09:50:00,09:00:00,F,09:50:00,09:00:00,,,,,,,
4,"Pazehoski, Kristina O.",false,false,SHAL 108  w/multimedia,GENERAL BIOLOGY I,101,0,B,2023_Fall,BIOL,90,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
0,"Jenkins, Stephen P.",true,true,STEM 145,LABORATORY,101,1,L,2023_Fall,BIOL,28,M,16:59:00,14:00:00,,,,,,,,,,,,,
0,"Lytle, Laurie S.",true,true,STEM 145,LABORATORY,101,1,M,2023_Fall,BIOL,28,T,12:29:00,09:30:00,,,,,,,,,,,,,
0,"Campagnolo, Enzo R.",true,true,STEM 145,LABORATORY,101,1,N,2023_Fall,BIOL,28,T,16:59:00,14:00:00,,,,,,,,,,,,,
0,"Wolfe, Abigail E.",true,true,STEM 145,LABORATORY,101,1,O,2023_Fall,BIOL,28,W,16:59:00,14:00:00,,,,,,,,,,,,,
0,"Lytle, Laurie S.",true,true,STEM 145,LABORATORY,101,1,P,2023_Fall,BIOL,28,R,12:29:00,09:30:00,,,,,,,,,,,,,
0,"Strain, Joy G.",true,true,STEM 145,LABORATORY,101,3,R,2023_Fall,BIOL,28,R,17:29:00,14:30:00,,,,,,,,,,,,,
0,"Wolfe, Abigail E.",true,true,STEM 145,LABORATORY,101,14,S,2023_Fall,BIOL,28,F,16:59:00,14:00:00,,,,,,,,,,,,,
4,"Stauff, Devin Lee",false,false,STEM 160B Conference Room,GENERAL MICROBIOLOGY,207,0,A,2023_Fall,BIOL,0,M,10:30:00,08:00:00,,,,,,,,,,,,,
0,"Stauff, Devin Lee",true,false,STEM 155,LABORATORY,207,0,L,2023_Fall,BIOL,0,M,15:59:00,13:00:00,,,,,,,,,,,,,
2,"Gundlach, Alaina Trilece",false,true,On Line Course,INTRO TO ENVIRONMENTAL EDUCATION,208,15,A,2023_Fall,BIOL,25,,,,,,,,,,,,,,,,
4,"Yowler, Brian C.",false,true,"Ketler Technological Learning Center, Auditorium",GENETICS,233,16,A,2023_Fall,BIOL,90,M,12:50:00,12:00:00,W,12:50:00,12:00:00,F,12:50:00,12:00:00,,,,,,,
0,"Yowler, Brian C.",true,true,STEM 051,RECITATION,233,1,L,2023_Fall,BIOL,23,T,12:15:00,11:00:00,,,,,,,,,,,,,
0,"Yowler, Brian C.",true,false,STEM 051,RECITATION,233,0,M,2023_Fall,BIOL,23,T,12:15:00,11:00:00,,,,,,,,,,,,,
0,"Yowler, Brian C.",true,true,STEM 051,RECITATION,233,2,N,2023_Fall,BIOL,23,T,13:45:00,12:30:00,,,,,,,,,,,,,
0,"Yowler, Brian C.",true,true,STEM 051,RECITATION,233,17,O,2023_Fall,BIOL,23,T,13:45:00,12:30:00,,,,,,,,,,,,,
1,"Farone, Tracy S.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,270,0,A,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
4,"Yowler, Brian C.",false,false,"Ketler Technological Learning Center, Auditorium",MEDICAL GENETICS,301,0,A,2023_Fall,BIOL,20,T,10:45:00,09:30:00,R,10:45:00,09:30:00,,,,,,,,,,
0,"Yowler, Brian C.",true,false,STEM 245,LABORATORY,301,0,L,2023_Fall,BIOL,20,R,17:49:00,14:00:00,,,,,,,,,,,,,
4,"Dudt, Jan F.",false,true,STEM 245,PLANT TAXONOMY,305,10,A,2023_Fall,BIOL,24,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
0,"Dudt, Jan F.",true,true,STEM 126,LABORATORY,305,11,L,2023_Fall,BIOL,24,W,16:59:00,14:00:00,,,,,,,,,,,,,
3,"Farone, Tracy S.",false,true,STEM 245,HISTOLOGY,313,1,A,2023_Fall,BIOL,24,T,12:15:00,11:00:00,R,12:15:00,11:00:00,,,,,,,,,,
3,"Jenkins, Stephen P.",false,false,STEM 245,INVERTEBRATE ZOOLOGY,323,0,A,2023_Fall,BIOL,24,M,09:50:00,09:00:00,W,09:50:00,09:00:00,F,09:50:00,09:00:00,,,,,,,
4,"Wood, Darren",false,true,"HOYT 215 
M 2:00 PM-2:50 PM;  HOYT 215",FOUND OF GEOGRAPHIC INFO SCIENCE,328,5,A,2023_Fall,BIOL,24,M,13:50:00,13:00:00,W,13:50:00,13:00:00,F,13:50:00,13:00:00,M,14:50:00,14:00:00,,,,
3,"Wood, Darren",false,true,HOYT 113 Classroom,ECOLOGY,331,7,A,2023_Fall,BIOL,24,T,09:15:00,08:00:00,R,09:15:00,08:00:00,,,,,,,,,,
1,"Wood, Darren",false,true,STEM 126,ECOLOGY LABORATORY,332,6,A,2023_Fall,BIOL,24,F,16:59:00,14:00:00,,,,,,,,,,,,,
4,"Farone, Tracy S.",false,true,"Ketler Technological Learning Center, Auditorium",HUMAN/MAMMALIAN ANATOMY,341,2,A,2023_Fall,BIOL,55,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
0,"Farone, Tracy S.",true,true,STEM 245,LABORATORY,341,1,L,2023_Fall,BIOL,18,M,16:59:00,15:00:00,,,,,,,,,,,,,
0,"Farone, Tracy S.",true,true,STEM 245,LABORATORY,341,1,M,2023_Fall,BIOL,18,M,14:59:00,13:00:00,,,,,,,,,,,,,
0,"Farone, Tracy S.",true,true,STEM 245,LABORATORY,341,2,N,2023_Fall,BIOL,18,W,14:59:00,13:00:00,,,,,,,,,,,,,
3,"Wood, Darren",false,true,STEM 126,ICHTHYOLOGY,343,13,A,2023_Fall,BIOL,24,M,08:50:00,08:00:00,W,08:50:00,08:00:00,F,08:50:00,08:00:00,,,,,,,
1,"Shaw, Kevin L.",false,false,GCC Main Campus,INDEPENDENT STUDY,360,0,A,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
1,"Campagnolo, Enzo R.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,370,0,A,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
1,"Farone, Tracy S.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,370,0,B,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
1,"Pazehoski, Kristina O.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,370,0,C,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
1,"Yowler, Brian C.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,370,0,D,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
4,"Stauff, Devin Lee",false,true,SHAL 310,MICROBIOLOGY,407,4,A,2023_Fall,BIOL,40,T,09:15:00,08:00:00,R,09:15:00,08:00:00,,,,,,,,,,
0,"Stauff, Devin Lee",true,true,STEM 155,LABORATORY,407,5,L,2023_Fall,BIOL,20,T,14:30:00,13:00:00,F,14:30:00,13:00:00,,,,,,,,,,
0,"Stauff, Devin Lee",true,false,STEM 155,LABORATORY,407,0,M,2023_Fall,BIOL,20,T,16:00:00,14:30:00,F,16:00:00,14:30:00,,,,,,,,,,
1,"Yowler, Brian C.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,470,0,A,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
1,"Farone, Tracy S.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,470,0,B,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
1,"Pazehoski, Kristina O.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,470,0,C,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
2,"Dudt, Jan F.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,470,0,D,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
1,"Wood, Darren",false,false,GCC Main Campus,INDEPENDENT RESEARCH,470,0,E,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
1,"Jenkins, Stephen P.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,470,0,F,2023_Fall,BIOL,0,,,,,,,,,,,,,,,,
1,"Pazehoski, Kristina O.",false,false,STEM 050,SEMINAR IN BIOLOGY,488,0,A,2023_Fall,BIOL,15,F,13:50:00,13:00:00,,,,,,,,,,,,,
1,"Dudt, Jan F.",false,true,STEM 140B Conference Room,SEMINAR IN BIOLOGY,488,6,B,2023_Fall,BIOL,15,F,13:50:00,13:00:00,,,,,,,,,,,,,
4,"Falcetta, Michael F.",false,true,"Ketler Technological Learning Center, Auditorium",CHEMISTRY FOR ENGINEERS,105,5,A,2023_Fall,CHEM,48,M,08:50:00,08:00:00,W,08:50:00,08:00:00,F,08:50:00,08:00:00,,,,,,,
4,"Falcetta, Michael F.",false,true,"Ketler Technological Learning Center, Auditorium",CHEMISTRY FOR ENGINEERS,105,7,B,2023_Fall,CHEM,48,M,09:50:00,09:00:00,W,09:50:00,09:00:00,F,09:50:00,09:00:00,,,,,,,
0,"Falcetta, Michael F.",true,true,STEM 255,LABORATORY,105,2,L,2023_Fall,CHEM,32,T,12:59:00,11:00:00,,,,,,,,,,,,,
0,"Falcetta, Michael F.",true,true,STEM 255,LABORATORY,105,4,M,2023_Fall,CHEM,32,T,14:59:00,13:00:00,,,,,,,,,,,,,
0,"Falcetta, Michael F.",true,true,STEM 255,LABORATORY,105,7,N,2023_Fall,CHEM,32,T,16:59:00,15:00:00,,,,,,,,,,,,,
3,"Foster, Peter Wesley PhD",false,true,STEM 051,GENERAL CHEMISTRY I,111,7,A,2023_Fall,CHEM,80,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
3,"Foster, Peter Wesley PhD",false,true,STEM 051,GENERAL CHEMISTRY I,111,3,B,2023_Fall,CHEM,80,M,12:50:00,12:00:00,W,12:50:00,12:00:00,F,12:50:00,12:00:00,,,,,,,
1,"Foster, Peter Wesley PhD",false,true,STEM 255,GENERAL CHEMISTRY I LAB,113,4,L,2023_Fall,CHEM,32,M,16:59:00,14:00:00,,,,,,,,,,,,,
1,"Foster, Peter Wesley PhD",false,true,STEM 255,GENERAL CHEMISTRY I LAB,113,4,M,2023_Fall,CHEM,32,W,16:59:00,14:00:00,,,,,,,,,,,,,
1,"Wong, Ven Ney",false,false,STEM 255,GENERAL CHEMISTRY I LAB,113,0,N,2023_Fall,CHEM,32,R,12:29:00,09:30:00,,,,,,,,,,,,,
1,"Augspurger, Joseph D.",false,true,STEM 255,GENERAL CHEMISTRY I LAB,113,4,O,2023_Fall,CHEM,32,R,16:59:00,14:00:00,,,,,,,,,,,,,
1,"Foster, Peter Wesley PhD",false,true,STEM 255,GENERAL CHEMISTRY I LAB,113,3,P,2023_Fall,CHEM,32,F,16:59:00,14:00:00,,,,,,,,,,,,,
4,"Wong, Ven Ney",false,true,STEM 126,ANALYTICAL CHEMISTRY,227,5,A,2023_Fall,CHEM,24,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
0,"Wong, Ven Ney",true,true,STEM 050,LABORATORY,227,2,L,2023_Fall,CHEM,12,T,16:59:00,14:00:00,,,,,,,,,,,,,
0,"Wong, Ven Ney",true,true,STEM 050,LABORATORY,227,4,M,2023_Fall,CHEM,12,W,16:59:00,14:00:00,,,,,,,,,,,,,
1,"Homan, Timothy C.",false,true,HOYT 118 Classroom,CHEMISTRY IN CONTEXT,235,5,A,2023_Fall,CHEM,24,M,13:50:00,13:00:00,,,,,,,,,,,,,
4,"Cramer, Susan J.",false,true,SHAL 208,ORGANIC CHEMISTRY I,241,14,A,2023_Fall,CHEM,30,M,08:50:00,08:00:00,W,08:50:00,08:00:00,F,08:50:00,08:00:00,,,,,,,
4,"Homan, Timothy C.",false,false,SHAL 208,ORGANIC CHEMISTRY I,241,0,B,2023_Fall,CHEM,30,M,09:50:00,09:00:00,W,09:50:00,09:00:00,F,09:50:00,09:00:00,,,,,,,
0,"Homan, Timothy C.",true,false,STEM 226,LABORATORY,241,0,L,2023_Fall,CHEM,15,T,16:59:00,14:00:00,,,,,,,,,,,,,
0,"Homan, Timothy C.",true,true,STEM 226,LABORATORY,241,1,M,2023_Fall,CHEM,15,W,16:59:00,14:00:00,,,,,,,,,,,,,
0,"Cramer, Susan J.",true,true,STEM 226,LABORATORY,241,3,N,2023_Fall,CHEM,15,R,12:29:00,09:30:00,,,,,,,,,,,,,
0,"Homan, Timothy C.",true,true,STEM 226,LABORATORY,241,5,O,2023_Fall,CHEM,15,R,16:59:00,14:00:00,,,,,,,,,,,,,
1,"Augspurger, Joseph D.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,270,0,A,2023_Fall,CHEM,0,,,,,,,,,,,,,,,,
1,"Wong, Ven Ney",false,false,GCC Main Campus,INDEPENDENT RESEARCH,270,0,B,2023_Fall,CHEM,0,,,,,,,,,,,,,,,,
1,"Bridger, Daniel Allan",false,true,STEM 245,INTRODUCTION TO CLINICAL MEDICINE,330,6,A,2023_Fall,CHEM,24,T,20:10:00,18:30:00,,,,,,,,,,,,,
4,"Augspurger, Joseph D.",false,true,STEM 050,MICROSCOPIC PHYSICAL CHEMISTRY:,345,10,A,2023_Fall,CHEM,16,M,12:50:00,12:00:00,W,12:50:00,12:00:00,F,12:50:00,12:00:00,,,,,,,
0,"Augspurger, Joseph D.",true,true,STEM 050,LABORATORY,345,10,L,2023_Fall,CHEM,16,M,16:59:00,14:00:00,,,,,,,,,,,,,
4,"Shaw, Kevin L.",false,true,SHAL 210,BIOCHEMISTRY I,351,8,A,2023_Fall,CHEM,32,M,08:50:00,08:00:00,W,08:50:00,08:00:00,F,08:50:00,08:00:00,,,,,,,
0,"Shaw, Kevin L.",true,true,STEM 155,LABORATORY,351,4,L,2023_Fall,CHEM,16,W,14:59:00,12:00:00,,,,,,,,,,,,,
0,"Shaw, Kevin L.",true,true,STEM 155,LABORATORY,351,6,M,2023_Fall,CHEM,16,R,16:59:00,14:00:00,,,,,,,,,,,,,
1,"Wong, Ven Ney",false,false,GCC Main Campus,INDEPENDENT RESEARCH,370,0,A,2023_Fall,CHEM,0,,,,,,,,,,,,,,,,
3,"Shaw, Kevin L.",false,true,STEM 050,BIOCHEMISTRY: DATA AND ANALYSIS,451,9,A,2023_Fall,CHEM,20,T,12:15:00,11:00:00,R,12:15:00,11:00:00,,,,,,,,,,
2,"Cramer, Susan J.",false,true,STEM 140B Conference Room,POLYMER CHEMISTRY,463,7,A,2023_Fall,CHEM,16,T,09:05:00,08:15:00,R,09:05:00,08:15:00,,,,,,,,,,
1,"Wong, Ven Ney",false,false,GCC Main Campus,INDEPENDENT RESEARCH,470,0,A,2023_Fall,CHEM,0,,,,,,,,,,,,,,,,
1,"Falcetta, Michael F.",false,true,STEM 160B Conference Room,CHEMISTRY SEMINAR,488,7,A,2023_Fall,CHEM,8,F,14:50:00,14:00:00,,,,,,,,,,,,,
3,"Robbins, David William",false,true,SHAL 114,INTRO TO CHRISTIAN MINISTRIES,122,1,A,2023_Fall,CMIN,25,T,10:45:00,09:30:00,R,10:45:00,09:30:00,,,,,,,,,,
3,"Shepson, Donald R. III",false,false,SHAL 302,SPIRITUAL FORMATION,238,0,A,2023_Fall,CMIN,25,M,12:50:00,12:00:00,W,12:50:00,12:00:00,F,12:50:00,12:00:00,,,,,,,
3,"Robbins, David William",false,true,SHAL 114,COMMUNICATING THE GOSPEL,258,7,A,2023_Fall,CMIN,30,T,12:15:00,11:00:00,R,12:15:00,11:00:00,,,,,,,,,,
3,"Shepson, Donald R. III",false,true,SHAL 214,WORSHIP AND PRAYER MINISTRY,361,13,A,2023_Fall,CMIN,30,M,14:50:00,14:00:00,W,14:50:00,14:00:00,F,14:50:00,14:00:00,,,,,,,
3,"Floris, Joseph D Jr.",false,true,SHAL 105,PUBLIC SPEAKING & RHETORIC,104,4,A,2023_Fall,COMM,20,T,16:45:00,15:30:00,R,16:45:00,15:30:00,,,,,,,,,,
3,"Edwards, Jason R.",false,true,SHAL 214,PUBLIC SPEAKING & RHETORIC,104,8,B,2023_Fall,COMM,20,T,12:15:00,11:00:00,R,12:15:00,11:00:00,,,,,,,,,,
1,"Edwards, Jason R.",false,false,SHAL 215,FORENSICS,109,0,A,2023_Fall,COMM,15,M,15:50:00,15:00:00,,,,,,,,,,,,,
3,"Miller, Kimberly M.",false,false,SHAL 323,WRITING FOR THE MEDIA,135,0,A,2023_Fall,COMM,18,M,08:50:00,08:00:00,W,08:50:00,08:00:00,F,08:50:00,08:00:00,,,,,,,
3,"Cherry, Heather Lynn",false,true,SHAL 312,WRITING FOR THE MEDIA,135,1,B,2023_Fall,COMM,18,T,16:45:00,15:30:00,R,16:45:00,15:30:00,,,,,,,,,,
3,"Barrios, Shannon N.",false,true,SHAL 323,RESEARCH METHODS IN COMM,212,8,A,2023_Fall,COMM,18,M,16:30:00,14:00:00,,,,,,,,,,,,,
3,"Barrios, Shannon N.",false,true,SHAL 103,PRINCIPLES OF MEDIA,215,7,A,2023_Fall,COMM,20,T,10:45:00,09:30:00,R,10:45:00,09:30:00,,,,,,,,,,
3,"Miller, Kimberly M.",false,false,SHAL 110,FILM HISTORY & THEORY,222,0,A,2023_Fall,COMM,30,T,13:45:00,12:30:00,R,13:45:00,12:30:00,,,,,,,,,,
3,"Barrios, Shannon N.",false,false,SHAL 201,INTERCULTURAL COMMUNICATION,225,0,A,2023_Fall,COMM,20,M,09:50:00,09:00:00,W,09:50:00,09:00:00,F,09:50:00,09:00:00,,,,,,,
3,"Barrios, Shannon N.",false,false,SHAL 201,INTERCULTURAL COMMUNICATION,225,0,B,2023_Fall,COMM,20,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
3,"Bandy, Gregory A.",false,true,SHAL 207 COMM Dept - Media Prod Rm,JOURNALISM,235,7,A,2023_Fall,COMM,15,M,12:50:00,12:00:00,W,12:50:00,12:00:00,F,12:50:00,12:00:00,,,,,,,
3,"Bandy, Gregory A.",false,false,SHAL 207 COMM Dept - Media Prod Rm,DIGITAL PHOTOGRAPHY,245,0,A,2023_Fall,COMM,15,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
3,"Bandy, Gregory A.",false,true,SHAL 207 COMM Dept - Media Prod Rm,STUDY: SCREENWRITING THE SHORT FILM,290,8,A,2023_Fall,COMM,15,T,15:15:00,14:00:00,R,15:15:00,14:00:00,,,,,,,,,,
3,"Hansford, Jason L.",false,true,SHAL 304,PROFESSIONAL COMMUNICATION,303,15,A,2023_Fall,COMM,20,W,21:00:00,18:30:00,,,,,,,,,,,,,
3,"Bandy, Gregory A.",false,false,SHAL 207 COMM Dept - Media Prod Rm,VIDEO PRODUCTION,378,0,A,2023_Fall,COMM,15,T,10:45:00,09:30:00,R,10:45:00,09:30:00,,,,,,,,,,
3,"Cherry, Heather Lynn",false,false,GCC Main Campus,INDEPENDENT STUDY,460,0,A,2023_Fall,COMM,0,,,,,,,,,,,,,,,,
3,"Miller, Kimberly M.",false,false,GCC Main Campus,INTERNSHIP IN COMMUNICATION STUDIES,480,0,A,2023_Fall,COMM,0,,,,,,,,,,,,,,,,
3,"Bandy, Gregory A.",false,false,GCC Main Campus,INTERNSHIP IN COMMUNICATION STUDIES,480,0,B,2023_Fall,COMM,0,,,,,,,,,,,,,,,,
3,"Miller, Kimberly M.",false,true,SHAL 301,SEMINAR IN COMMUNICATION,488,7,A,2023_Fall,COMM,15,T,15:15:00,14:00:00,R,15:15:00,14:00:00,,,,,,,,,,
3,"Wolfe, Britton D.",false,false,Science Technology Engineering,COMP PROGRAMMING I,141,0,A,2023_Fall,COMP,32,M,12:50:00,12:00:00,W,12:50:00,12:00:00,F,12:50:00,12:00:00,,,,,,,
3,"Wolfe, Britton D.",false,true,STEM 326,COMP PROGRAMMING I,141,3,B,2023_Fall,COMP,32,M,13:50:00,13:00:00,W,13:50:00,13:00:00,F,13:50:00,13:00:00,,,,,,,
3,"Hutchins, Jonathan O.",false,false,STEM 376,COMP PROGRAMMING I,141,0,C,2023_Fall,COMP,32,M,14:50:00,14:00:00,W,14:50:00,14:00:00,F,14:50:00,14:00:00,,,,,,,
3,"Hutchins, Jonathan O.",false,true,STEM 376,COMP PROGRAMMING I,141,10,D,2023_Fall,COMP,32,M,15:50:00,15:00:00,W,15:50:00,15:00:00,F,15:50:00,15:00:00,,,,,,,
3,"Dickinson, Brian C",false,false,STEM 326,INTRO TO COMPUTER SCIENCE,155,0,A,2023_Fall,COMP,32,T,12:15:00,11:00:00,R,12:15:00,11:00:00,,,,,,,,,,
3,"Dickinson, Brian C",false,true,STEM 326,INTRO TO COMPUTER SCIENCE,155,4,B,2023_Fall,COMP,32,T,16:45:00,15:30:00,R,16:45:00,15:30:00,,,,,,,,,,
3,"Johnson, Ethan Joseph",false,false,STEM 376,COMP PROGRAMMING II,220,0,A,2023_Fall,COMP,32,M,13:50:00,13:00:00,W,13:50:00,13:00:00,F,13:50:00,13:00:00,,,,,,,
3,"Hutchins, Jonathan O.",false,false,STEM 376,INTRO TO DATA STRUCT & ALGORITHMS,222,0,A,2023_Fall,COMP,32,M,09:50:00,09:00:00,W,09:50:00,09:00:00,F,09:50:00,09:00:00,,,,,,,
3,"Hutchins, Jonathan O.",false,false,STEM 376,INTRO TO DATA STRUCT & ALGORITHMS,222,0,B,2023_Fall,COMP,32,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
3,"Zhang, He",false,true,STEM 326,DATABASE MGT SYSTEMS,244,2,A,2023_Fall,COMP,32,T,10:45:00,09:30:00,R,10:45:00,09:30:00,,,,,,,,,,
3,"Zhang, He",false,true,STEM 326,DATABASE MGT SYSTEMS,244,3,B,2023_Fall,COMP,32,T,15:15:00,14:00:00,R,15:15:00,14:00:00,,,,,,,,,,
3,"Johnson, Ethan Joseph",false,false,STEM 326,COMPUTER ARCHITECTURE/ORG,325,0,A,2023_Fall,COMP,35,M,09:50:00,09:00:00,W,09:50:00,09:00:00,F,09:50:00,09:00:00,,,,,,,
1,"Hutchins, Jonathan O.",false,false,GCC Main Campus,INDEPENDENT RESEARCH,370,0,A,2023_Fall,COMP,0,,,,,,,,,,,,,,,,
3,"Zhang, He",false,true,STEM 376,PRINCIPLES OF ANDROID PROGRAMMING,402,1,A,2023_Fall,COMP,35,M,12:50:00,12:00:00,W,12:50:00,12:00:00,F,12:50:00,12:00:00,,,,,,,
3,"Dellinger, Brian J.",false,true,SHAL 204,THEORY OF ALGORITHMS,422,1,A,2023_Fall,COMP,35,M,15:50:00,15:00:00,W,15:50:00,15:00:00,F,15:50:00,15:00:00,,,,,,,
3,"Dickinson, Brian C",false,true,STEM 326,2D GAME DESIGN & DEVELOPMENT,441,4,A,2023_Fall,COMP,35,M,10:50:00,10:00:00,W,10:50:00,10:00:00,F,10:50:00,10:00:00,,,,,,,
3,"Dickinson, Brian C",false,true,STEM 326,WEB PROGRAMMING TECHNOLOGIES,442,7,A,2023_Fall,COMP,35,M,14:50:00,14:00:00,W,14:50:00,14:00:00,F,14:50:00,14:00:00,,,,,,,
3,"Johnson, Ethan Joseph",false,true,STEM 376,COMPUTER SECURITY,448,2,A,2023_Fall,COMP,37,T,15:15:00,14:00:00,R,15:15:00,14:00:00,,,,,,,,,,
